Age,AnnualIncome,Gender,MembershipDuration,Location
30,51154.01,Male,9,Suburban
60,111345.66,Male,4,Urban
55,60067.34,Female,1,Rural
27,43604.34,Male,7,Urban
35,38564.16,Male,2,Rural
27,71776.58,Male,3,Urban
31,34916.31,Male,7,Rural
65,34296.79,Male,9,Urban
68,93978.03,Male,8,Rural
30,66267.74,Male,1,Suburban
54,98103.9,Male,4,Urban
45,57340.65,Female,1,Urban
44,70455.48,Female,2,Rural
68,83131.11,Male,2,Rural
49,60262.91,Female,5,Suburban
24,44958.59,Female,2,Suburban
60,83291.26,Male,8,Rural
63,67991.53,Female,5,Suburban
27,29428.8,Female,8,Urban
61,60945.33,Female,6,Urban
44,47379.21,Female,6,Urban
51,32848.56,Female,7,Urban
36,52752.6,Female,6,Rural
59,50985.41,Female,4,Suburban
62,58757.99,Female,4,Rural
49,24439.81,Female,8,Urban
39,100040.83,Male,3,Rural
29,62905.7,Male,3,Urban
46,86010.59,Male,5,Urban
70,49871.17,Female,1,Rural
48,86781.91,Female,1,Urban
64,62108.57,Female,7,Urban
39,33595.36,Female,1,Rural
27,123851.37,Female,9,Urban
39,57604.45,Female,2,Urban
53,102560.92,Female,7,Urban
52,80460.58,Male,4,Urban
47,78866.36,Female,6,Suburban
35,38114.52,Male,2,Suburban
41,40286.75,Female,7,Suburban
70,57678.79,Female,3,Urban
32,61626.65,Female,3,Urban
27,63825.92,Female,1,Suburban
62,39542.33,Male,7,Urban
64,39789.63,Female,1,Urban
49,75468.16,Female,9,Urban
36,72135.35,Female,8,Suburban
24,51850.6,Male,4,Suburban
64,32522.97,Male,4,Urban
28,35318.81,Female,8,Suburban
59,76377.79,Male,9,Suburban
39,93206.52,Female,5,Suburban
40,51585.85,Male,4,Suburban
40,59027.99,Female,9,Urban
43,128803.54,Female,9,Rural
36,65787.16,Male,1,Rural
22,77271.33,Female,2,Urban
38,40963.4,Male,5,Suburban
35,42282.16,Female,7,Urban
67,82883.83,Female,1,Rural
65,79870.91,Male,3,Suburban
63,24633.51,Male,9,Rural
47,54855.88,Female,4,Urban
43,77630.16,Male,1,Rural
59,42766.29,Female,2,Rural
52,52863.02,Male,2,Suburban
65,98005.54,Female,9,Rural
46,80900.72,Male,5,Urban
26,80770.1,Male,3,Suburban
26,66756.72,Female,5,Rural
51,82126.43,Female,3,Urban
32,62944.45,Female,8,Suburban
31,101883.66,Male,5,Urban
53,47633.33,Female,8,Rural
26,77754.55,Male,9,Urban
63,64012.45,Female,1,Urban
30,65546.05,Female,6,Suburban
46,85482.64,Female,9,Rural
53,89810.29,Female,5,Urban
23,100463.33,Female,5,Rural
53,110641.27,Male,8,Rural
25,71445.51,Female,9,Urban
46,30267.59,Male,8,Urban
52,106426.73,Male,5,Urban
34,69822.55,Female,2,Rural
40,52940.94,Male,5,Rural
52,44131.01,Female,4,Rural
44,60180.45,Female,4,Urban
36,80994.47,Female,1,Rural
32,57614.85,Female,2,Rural
42,71222.43,Female,1,Rural
48,72870.55,Male,2,Urban
67,97949.9,Male,6,Rural
24,36149.95,Male,8,Suburban
44,66303.14,Male,1,Urban
44,95234.46,Female,7,Rural
45,84473.09,Female,8,Urban
69,26078.8,Female,6,Rural
23,40149.66,Male,7,Urban
54,67503.05,Female,7,Rural
61,15000.0,Female,1,Urban
61,61352.58,Male,9,Suburban
53,55237.78,Female,9,Rural
53,21287.37,Female,5,Suburban
43,88272.92,Female,6,Urban
37,76041.63,Female,2,Suburban
70,109914.23,Male,4,Suburban
21,63770.8,Male,6,Rural
47,67023.13,Female,7,Rural
36,41175.57,Female,2,Rural
41,74917.7,Male,2,Urban
56,78586.92,Male,7,Suburban
32,79470.02,Female,2,Urban
58,60184.24,Female,3,Rural
29,65171.42,Male,3,Urban
59,33779.77,Male,7,Rural
40,86271.62,Male,1,Urban
59,59634.65,Female,8,Urban
44,90358.5,Female,3,Suburban
57,21222.32,Female,2,Urban
70,71214.91,Female,6,Urban
49,62362.4,Female,2,Urban
28,41013.37,Male,3,Urban
28,69028.55,Female,4,Urban
52,15000.0,Male,9,Urban
43,68678.18,Male,5,Rural
26,82932.6,Female,6,Rural
64,51301.73,Female,1,Urban
41,101621.24,Male,6,Suburban
63,65469.01,Male,8,Urban
38,83939.59,Male,5,Suburban
30,32094.73,Male,5,Urban
65,87801.39,Female,4,Rural
64,79009.65,Female,6,Suburban
32,71080.03,Male,8,Rural
39,47113.29,Male,3,Urban
36,43873.4,Male,2,Urban
61,54199.3,Female,2,Rural
30,49685.78,Male,1,Rural
42,79727.59,Male,4,Rural
46,32457.73,Male,1,Suburban
22,138719.39,Male,2,Suburban
45,93527.48,Female,2,Suburban
56,96207.97,Female,7,Urban
68,42434.03,Male,8,Rural
64,72431.58,Female,5,Rural
37,63197.35,Male,1,Rural
22,74023.26,Female,5,Urban
63,56753.81,Female,3,Urban
65,72872.95,Male,5,Rural
22,74002.34,Female,2,Urban
69,93177.14,Male,2,Urban
21,48422.43,Male,8,Urban
25,58038.94,Male,7,Urban
70,39620.21,Female,5,Suburban
36,76851.34,Male,7,Rural
56,76261.66,Female,2,Rural
32,68256.96,Male,4,Rural
45,86270.86,Male,8,Suburban
20,40697.66,Male,8,Suburban
32,67592.73,Male,9,Urban
43,63035.21,Female,7,Rural
68,78693.89,Male,1,Suburban
68,96573.86,Female,2,Rural
51,122578.89,Female,9,Rural
41,109867.12,Female,3,Suburban
50,56767.45,Female,9,Rural
47,58845.55,Female,6,Urban
20,79812.81,Female,5,Rural
69,68248.11,Male,2,Rural
36,107713.64,Male,9,Urban
27,127770.03,Male,7,Urban
58,34323.26,Female,2,Urban
35,15000.0,Male,3,Rural
62,95755.53,Female,3,Suburban
56,86271.8,Male,9,Rural
25,78273.16,Male,9,Urban
25,78908.91,Male,3,Urban
57,67904.47,Female,9,Rural
26,86667.9,Female,2,Urban
20,74460.79,Male,4,Rural
64,83784.92,Female,9,Rural
70,83961.59,Female,4,Urban
27,108690.78,Male,5,Suburban
23,57636.14,Female,9,Urban
28,98994.12,Male,2,Rural
53,36316.39,Female,2,Rural
58,30009.43,Male,5,Rural
53,53026.33,Female,3,Rural
20,60970.76,Female,7,Urban
37,52282.29,Male,8,Rural
39,15000.0,Male,2,Rural
65,30989.61,Female,3,Urban
38,30826.93,Female,3,Rural
53,75946.38,Male,4,Urban
22,68680.0,Female,1,Urban
55,88162.52,Male,4,Suburban
54,104392.45,Female,4,Suburban
53,79458.75,Male,9,Rural
23,77298.7,Male,6,Suburban
33,114724.8,Male,5,Rural
58,70105.29,Female,3,Urban
43,58110.66,Male,5,Urban
59,81506.54,Female,8,Urban
46,52800.84,Female,8,Suburban
33,45453.09,Female,4,Suburban
31,55591.29,Male,9,Suburban
30,34670.28,Male,8,Suburban
46,100874.74,Male,9,Urban
50,86070.16,Male,9,Rural
32,83078.93,Male,5,Urban
45,60316.03,Female,6,Suburban
41,61660.61,Female,8,Suburban
27,65491.92,Male,1,Suburban
54,59928.71,Male,3,Rural
59,59493.53,Male,8,Rural
29,41914.58,Female,5,Urban
60,94994.18,Male,8,Rural
35,59401.11,Female,3,Rural
42,87902.56,Female,5,Urban
20,110225.37,Male,9,Rural
70,37909.19,Female,2,Rural
22,91229.94,Female,7,Rural
64,50172.53,Female,5,Urban
47,84991.72,Female,3,Rural
35,51447.1,Male,6,Suburban
60,67034.63,Male,4,Rural
33,77921.48,Male,2,Urban
69,67974.0,Male,7,Rural
59,50192.57,Female,5,Rural
67,46395.45,Male,7,Urban
36,66719.47,Male,4,Suburban
55,112284.52,Male,3,Urban
68,43507.57,Female,7,Urban
24,44529.04,Male,9,Urban
54,107340.51,Male,9,Urban
50,66065.14,Male,5,Rural
54,55330.32,Male,6,Urban
54,40255.62,Female,8,Rural
63,16883.01,Male,8,Suburban
39,70441.85,Male,6,Urban
22,15000.0,Female,5,Rural
69,78072.05,Female,8,Rural
70,66967.84,Male,2,Rural
59,49535.38,Female,7,Urban
27,58033.51,Male,5,Rural
34,95637.2,Male,6,Urban
29,69433.93,Female,5,Suburban
38,45437.42,Female,6,Urban
55,41601.46,Female,4,Urban
49,50177.82,Male,3,Suburban
57,81250.9,Female,5,Suburban
36,57143.3,Male,4,Urban
61,51843.4,Female,3,Urban
43,72469.68,Female,6,Urban
60,106639.29,Female,7,Rural
52,68937.06,Female,9,Suburban
59,32553.17,Male,3,Urban
48,92230.29,Male,4,Rural
48,48554.91,Female,8,Rural
47,36720.99,Female,8,Urban
20,33593.34,Male,4,Urban
54,17904.61,Male,2,Urban
22,64497.95,Male,7,Urban
42,48414.83,Female,4,Urban
66,71562.21,Female,2,Rural
69,57097.32,Female,5,Suburban
34,62707.8,Female,6,Suburban
45,94031.22,Male,3,Rural
35,65381.68,Female,2,Rural
60,86545.4,Female,3,Suburban
69,37823.22,Female,6,Rural
42,27548.58,Male,8,Rural
40,63218.72,Male,2,Suburban
30,43941.66,Female,6,Rural
62,101733.73,Male,2,Urban
56,51024.79,Male,7,Rural
20,97888.59,Female,5,Rural
48,80844.4,Female,2,Rural
70,50313.56,Female,6,Rural
59,55533.17,Female,3,Suburban
39,69722.23,Female,3,Urban
39,67002.26,Male,8,Urban
28,30974.11,Male,6,Rural
51,69742.3,Male,2,Urban
41,82623.01,Female,2,Suburban
45,75932.78,Male,9,Suburban
38,67828.65,Female,2,Rural
32,34883.34,Male,6,Urban
35,36516.5,Female,2,Rural
55,49039.42,Female,7,Urban
48,49857.34,Male,4,Suburban
63,104450.51,Male,7,Urban
55,77661.98,Male,1,Urban
35,93208.15,Male,8,Suburban
41,70347.31,Male,2,Rural
22,112834.25,Male,2,Rural
57,55364.05,Female,1,Rural
68,89396.04,Female,4,Urban
54,102060.77,Female,3,Urban
63,60224.37,Female,5,Rural
38,75607.44,Male,2,Rural
30,50701.43,Female,4,Rural
59,36091.95,Female,3,Urban
36,64386.88,Female,4,Urban
52,55640.99,Male,7,Suburban
34,74214.35,Female,4,Suburban
63,40159.5,Male,7,Rural
69,88666.8,Female,1,Urban
