Age,AnnualIncome,Gender,MembershipDuration,Location
39,13974.89,Male,8,Suburban
21,80178.29,Female,1,Urban
23,68199.84,Female,7,Urban
19,57669.55,Male,9,Suburban
31,34292.01,Male,9,Suburban
30,47983.25,Male,9,Suburban
30,57019.11,Male,3,Urban
25,64936.42,Male,2,Rural
32,68054.88,Female,2,Urban
46,26692.56,Female,1,Suburban
46,72209.97,Female,8,Urban
33,46403.69,Male,6,Urban
48,54828.17,Female,5,Urban
54,87496.12,Female,4,Urban
43,40994.54,Male,6,Rural
46,47953.35,Female,3,Suburban
24,15848.78,Male,9,Suburban
20,93933.09,Female,8,Rural
45,48413.54,Female,3,Suburban
35,84358.51,Female,9,Urban
38,60022.59,Female,7,Urban
43,62943.74,Male,2,Suburban
46,89649.85,Female,7,Suburban
37,20847.03,Male,6,Urban
18,75904.46,Female,4,Suburban
58,75792.13,Male,6,Urban
26,22150.11,Female,1,Urban
24,52588.91,Female,4,Urban
21,71486.55,Male,2,Rural
57,75896.61,Female,4,Urban
38,16834.01,Male,2,Rural
41,67350.84,Male,9,Suburban
36,17968.91,Female,4,Urban
22,29469.16,Female,3,Rural
54,74399.8,Male,7,Urban
19,56917.06,Male,2,Rural
25,86753.96,Female,6,Suburban
18,99130.72,Male,1,Rural
55,32565.76,Female,9,Rural
46,70292.57,Female,8,Suburban
45,45698.44,Female,6,Rural
18,66680.01,Female,2,Urban
20,56372.31,Male,8,Suburban
53,13305.87,Male,6,Rural
50,30751.23,Male,7,Rural
40,61596.49,Female,4,Urban
27,14741.55,Female,4,Urban
35,96276.45,Male,6,Urban
40,95971.27,Male,9,Rural
40,62268.15,Female,1,Urban
31,81819.04,Male,3,Urban
25,54484.65,Male,1,Suburban
57,81580.77,Female,6,Rural
57,79388.73,Male,2,Urban
52,38313.69,Male,6,Suburban
41,72385.77,Male,9,Suburban
18,23920.49,Female,1,Urban
43,10472.84,Female,1,Suburban
48,95867.82,Female,9,Suburban
19,56815.13,Male,9,Suburban
26,16998.88,Male,1,Suburban
39,20375.38,Male,9,Urban
50,42648.21,Male,2,Rural
27,46142.22,Male,6,Suburban
23,66978.83,Female,7,Suburban
58,19278.44,Female,4,Suburban
50,34953.91,Female,3,Urban
43,96588.89,Female,2,Suburban
53,46229.5,Male,1,Suburban
27,26389.64,Male,6,Urban
45,34451.83,Female,3,Rural
46,53537.94,Male,6,Suburban
29,99670.22,Male,7,Suburban
41,52057.97,Male,2,Suburban
27,98683.06,Female,5,Rural
43,85429.63,Female,4,Suburban
44,78313.23,Male,3,Rural
36,44568.16,Female,7,Rural
57,41848.42,Male,6,Suburban
56,44556.75,Male,5,Rural
22,19592.09,Female,3,Urban
57,63845.75,Male,2,Urban
54,74937.96,Female,5,Suburban
46,96154.32,Male,1,Rural
57,58585.85,Male,8,Rural
44,29755.95,Female,6,Urban
34,75169.3,Male,6,Rural
24,85404.32,Male,8,Rural
50,97709.25,Male,3,Suburban
50,14643.62,Male,2,Suburban
59,95437.61,Female,2,Suburban
49,33308.44,Male,8,Urban
47,68009.2,Male,7,Suburban
49,45845.86,Female,9,Suburban
47,49692.89,Female,2,Urban
29,84032.55,Male,8,Urban
27,33984.86,Female,3,Urban
53,85337.11,Female,8,Rural
42,82668.72,Male,7,Urban
21,51574.86,Female,6,Urban
53,16045.79,Female,8,Rural
19,33421.0,Female,8,Urban
50,53630.05,Female,3,Urban
45,47958.64,Female,2,Urban
35,58456.13,Female,6,Urban
22,91051.51,Male,9,Suburban
28,86176.71,Female,8,Urban
47,53295.57,Female,5,Suburban
40,36730.26,Female,4,Suburban
22,92396.23,Male,8,Rural
38,20830.49,Male,4,Urban
37,27333.91,Female,3,Urban
24,18252.94,Male,4,Suburban
32,51371.34,Male,1,Rural
39,85737.67,Female,3,Urban
28,33731.54,Male,8,Urban
55,79645.11,Male,4,Urban
28,63754.67,Female,5,Rural
25,10021.38,Female,7,Urban
43,54771.84,Male,4,Suburban
51,19852.08,Female,2,Suburban
36,14225.08,Male,2,Rural
48,72896.13,Male,3,Rural
29,16142.47,Female,8,Rural
19,82069.27,Male,9,Rural
54,66064.36,Male,9,Urban
33,62969.88,Female,4,Suburban
37,22601.67,Male,5,Rural
52,45246.71,Female,8,Urban
49,16302.67,Male,4,Urban
35,96235.37,Male,7,Suburban
53,41638.61,Male,4,Suburban
38,64071.86,Male,7,Rural
35,76901.75,Female,6,Suburban
43,79382.02,Female,6,Rural
30,76751.82,Male,5,Rural
27,10853.69,Male,5,Rural
49,21199.38,Female,5,Urban
55,47575.55,Female,3,Urban
47,88899.88,Male,3,Rural
